1,0.986
2,0.981
3,0.974
4,0.97
5,0.964
6,0.972
7,0.988
8,1.0
9,0.869
10,0.887
11,0.894
12,0.911
13,0.93
14,0.947
15,0.968
16,1.0
17,0.612
18,0.589
19,0.578
20,0.588
21,0.597
22,0.634
23,0.674
24,0.676
25,0.296
26,0.297
27,0.316
28,0.294
29,0.349
30,0.332
31,0.293
32,0.337
33,0.109
34,0.091
35,0.047
36,0.034
37,0.012
38,0.012
39,0.013
40,0.014
41,0.004
42,0.001
43,0.002
44,0.006
45,0.001
46,0.003
47,0.004
48,0.002
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
